iter	Passed	Remaining
0	5	11807
1	8	8324
2	11	7499
3	13	6621
4	15	6174
5	17	5923
6	19	5648
7	22	5548
8	24	5408
9	26	5235
10	28	5103
11	30	5024
12	32	4961
13	34	4917
14	36	4843
15	38	4778
16	40	4723
17	42	4710
18	45	4777
19	48	4774
20	50	4734
21	52	4689
22	54	4652
23	56	4673
24	58	4659
25	60	4629
26	62	4597
27	65	4579
28	68	4642
29	70	4607
30	72	4577
31	74	4552
32	77	4642
33	79	4616
34	81	4588
35	83	4559
36	85	4531
37	88	4567
38	90	4560
39	92	4542
40	94	4521
41	96	4492
42	98	4483
43	101	4510
44	103	4500
45	105	4498
46	107	4486
47	110	4503
48	112	4493
49	114	4483
50	116	4464
51	118	4449
52	122	4502
53	124	4504
54	127	4498
55	129	4485
56	132	4501
57	134	4487
58	136	4477
59	137	4460
60	139	4443
61	141	4435
62	144	4434
63	146	4431
64	148	4418
65	150	4407
66	153	4430
67	155	4430
68	157	4415
69	159	4398
70	161	4381
71	163	4371
72	165	4364
73	167	4362
74	169	4347
75	171	4331
76	172	4315
77	174	4299
78	176	4291
79	178	4276
80	179	4263
81	181	4250
82	183	4235
83	185	4241
84	188	4237
85	189	4223
86	191	4209
87	193	4194
88	194	4181
89	197	4190
90	199	4180
91	201	4168
92	202	4155
93	204	4143
94	205	4130
95	207	4122
96	209	4115
97	211	4108
98	213	4097
99	215	4094
100	217	4092
101	220	4106
102	222	4098
103	224	4091
104	226	4081
105	227	4071
106	230	4083
107	232	4078
108	234	4069
109	237	4074
110	239	4069
111	241	4067
112	243	4074
113	245	4063
114	247	4050
115	248	4038
116	250	4029
117	252	4031
118	254	4025
119	256	4018
120	258	4008
121	259	3998
122	261	3988
123	263	3988
124	266	3990
125	267	3981
126	269	3972
127	271	3964
128	272	3958
129	275	3962
130	277	3956
131	278	3947
132	280	3939
133	282	3931
134	284	3924
135	286	3930
136	288	3927
137	290	3919
138	292	3912
139	293	3904
140	295	3901
141	297	3893
142	299	3887
143	301	3880
144	302	3872
145	304	3863
146	305	3856
147	308	3863
148	310	3857
149	312	3849
150	313	3843
151	315	3838
152	317	3829
153	319	3835
154	321	3831
155	323	3823
156	325	3818
157	326	3811
158	328	3808
159	332	3818
160	333	3810
161	335	3803
162	336	3794
