hrs,absences,JobInvolvement,PerformanceRating,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeID,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager
7.315970548861944,13.0,2.0,4.0,3.0,,4.0,31.0,Yes,Travel_Frequently,Research & Development,10.0,1.0,Life Sciences,1.0,2,Female,1.0,Research Scientist,Single,41890.0,0.0,Y,23.0,,1.0,6.0,3.0,5.0,1.0,4
6.450876840696111,17.0,,4.0,1.0,3.0,1.0,28.0,Yes,Travel_Rarely,Research & Development,11.0,2.0,Medical,1.0,7,,2.0,Sales Executive,,58130.0,2.0,Y,20.0,8.0,1.0,5.0,2.0,0.0,0.0,0
8.8714212405175,14.0,2.0,3.0,1.0,2.0,2.0,,Yes,Non-Travel,Research & Development,1.0,1.0,Medical,1.0,14,Male,1.0,Research Scientist,Married,,,Y,,8.0,2.0,10.0,,10.0,9.0,9
10.713065595716111,6.0,2.0,3.0,4.0,3.0,1.0,44.0,Yes,Travel_Frequently,Research & Development,1.0,,Medical,1.0,29,Male,2.0,Research Scientist,Divorced,,3.0,Y,,,,19.0,2.0,1.0,0.0,0
9.662807898259445,11.0,2.0,3.0,1.0,2.0,3.0,26.0,Yes,Travel_Rarely,Research & Development,4.0,,Medical,1.0,31,Male,3.0,Research Scientist,Divorced,68540.0,,Y,11.0,8.0,0.0,5.0,5.0,,0.0,2
,17.0,,3.0,,,3.0,,Yes,Travel_Rarely,Research & Development,8.0,3.0,Medical,1.0,36,Male,2.0,Manager,Single,,1.0,Y,12.0,8.0,,8.0,5.0,8.0,7.0,4
6.177288041053056,22.0,2.0,3.0,3.0,,3.0,,Yes,Travel_Rarely,Research & Development,1.0,,Life Sciences,1.0,39,Male,1.0,Sales Executive,Single,23350.0,,Y,14.0,8.0,2.0,,,0.0,0.0,0
7.5880365908075,10.0,3.0,3.0,3.0,2.0,,,Yes,Travel_Rarely,Research & Development,7.0,1.0,Life Sciences,1.0,60,Female,2.0,Research Scientist,Married,,2.0,Y,18.0,,1.0,11.0,2.0,8.0,7.0,7
,2.0,2.0,3.0,1.0,4.0,2.0,28.0,Yes,Travel_Rarely,Research & Development,9.0,4.0,Medical,1.0,66,Male,1.0,Sales Executive,Married,56730.0,5.0,Y,,,1.0,5.0,4.0,,2.0,2
,,3.0,3.0,4.0,3.0,2.0,39.0,Yes,Travel_Rarely,,1.0,,Medical,1.0,70,Female,,Laboratory Technician,Married,42840.0,,Y,17.0,8.0,1.0,12.0,,1.0,0.0,0
9.67827867023639,19.0,3.0,,2.0,1.0,2.0,,Yes,Travel_Rarely,Research & Development,29.0,3.0,Medical,1.0,79,Female,1.0,Research Scientist,,,1.0,Y,13.0,8.0,1.0,7.0,0.0,7.0,0.0,7
7.970253235162778,5.0,2.0,,,2.0,3.0,21.0,Yes,Travel_Frequently,,9.0,3.0,Medical,,100,Female,4.0,Manufacturing Director,,,1.0,,12.0,8.0,,3.0,5.0,3.0,1.0,2
9.749403168228334,,1.0,4.0,4.0,3.0,3.0,33.0,Yes,Travel_Rarely,Human Resources,28.0,2.0,Human Resources,1.0,106,Female,5.0,Manager,Single,,1.0,Y,,8.0,,1.0,3.0,1.0,0.0,0
7.100332440874444,,4.0,3.0,1.0,2.0,3.0,41.0,Yes,Travel_Frequently,Research & Development,16.0,1.0,Medical,1.0,109,Female,1.0,Research Scientist,Single,,1.0,Y,,8.0,0.0,8.0,3.0,8.0,7.0,7
8.735999553770556,15.0,2.0,4.0,3.0,3.0,3.0,40.0,Yes,Travel_Rarely,Research & Development,8.0,3.0,Medical,1.0,111,Female,1.0,Healthcare Representative,Married,86280.0,2.0,Y,20.0,8.0,0.0,8.0,2.0,6.0,1.0,0
